sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,dynamicCIAThreads instr,dynamicCIAThreads project,dynamicCIAThreads monitoring,dynamicCIAThreads lock,dynamicCIAThreads violation,dynamicCIAThreads other
8045d9459af361c9560931dfb5523f9fb00b6990,22379,636,166,30,0,254,23169,625,170,38,0,279,22854,623,169,31,0,269,23606,649,158,43,0,265,8,615,209,43,0,113
930c6819bb1e419cf0ecf00582abf2553e131aac,22447,636,162,36,0,259,0,0,0,0,0,0,0,0,0,0,0,0,777,623,166,31,0,124,18,578,223,32,0,90
d4d887825ce4380123f50f0545abe1d26852a7e4,23487,641,133,38,0,268,0,0,0,0,0,0,0,0,0,0,0,0,4471,588,161,38,1,170,16,614,200,33,0,115
5d4868051c4f8d6a8f2f5bbbdd3c764c815b0b6f,22341,608,140,30,0,248,22434,602,163,29,0,247,21978,603,171,31,0,246,828,665,154,34,0,133,18,601,192,31,0,101
ec156b31a3861a0d60c8a9d9bcebfc9a4f5f986d,21473,601,148,48,0,249,21259,625,150,33,0,257,20778,593,129,33,0,254,647,624,189,45,0,119,17,619,178,48,0,126
491e8bea19dcfd588158b31c3ef9bbf00b7d3d55,24659,659,147,24,0,270,22805,628,149,28,0,254,23490,635,165,27,0,259,20270,635,140,38,0,220,18,579,178,32,0,104
269699bd434e41988eec3dd3ad8856be8059a00a,24807,649,146,21,0,268,25228,659,158,28,1,259,23840,636,137,20,1,245,1523,622,166,39,0,119,19,615,159,30,0,116
3860ffaa7dca47a9be908d96cfbdca676cd08b79,24780,611,125,36,0,265,25095,648,156,30,0,277,25337,638,155,36,1,281,16405,641,168,28,0,188,15,657,178,34,1,105
5a0a54c1309690a5324350f470fa22ebb6611b9e,24872,687,162,36,0,277,24373,610,134,31,2,263,26131,635,152,34,0,289,1191,693,156,34,0,143,21,636,164,32,0,119
ec48f1a0c93f0d06ffbf7dbbc0b0c1484b10bd4d,24423,650,148,30,0,284,25924,662,152,28,0,286,25112,681,151,29,0,267,943,698,183,49,1,125,11,649,170,44,0,126
80ac5c3277b3f4859d70549f953d42fa23114ccd,24599,669,150,25,1,255,24716,651,147,35,0,255,24546,671,148,26,0,277,8710,701,163,32,0,234,18,627,165,28,0,101
554e87b30c38c57cc391d73fdd7dbbbae37aaf67,24964,668,155,27,0,264,24320,682,149,21,0,249,25733,710,156,25,0,246,949,726,159,32,0,126,21,654,179,28,0,100
71bb14207ebdae703d6e5cbfa1f55b20bb353910,25780,646,175,23,0,263,0,0,0,0,0,0,0,0,0,0,0,0,891,715,152,41,0,135,23,674,173,37,1,112
15bc458c8a956c9719a9c34d74d49503ce1e0fe6,24765,673,152,21,0,260,8606,633,116,29,1,165,250,564,0,1,0,75,1033,703,157,30,0,129,19,656,162,39,0,107
f849afeedc714d79bf86b8aa74b8683a55942eff,25843,693,141,29,1,340,0,0,0,0,0,0,0,0,0,0,0,0,1604,666,150,40,1,192,17,686,161,34,1,133
73d5dcbf018e20674e1b56c70e79dd3dfd5b4dbd,26215,686,157,29,0,328,25617,693,149,37,0,310,26130,692,165,27,0,315,4158,699,158,32,0,237,17,693,174,44,0,103
c499c395cef38f9bb4b52d157bc336bff0644b94,24887,655,145,16,0,337,26698,676,141,29,2,333,25663,686,155,25,0,352,9977,630,139,29,0,235,20,670,163,39,0,127
7290786e82db354f1d310c599f84150a7ec0ef8b,26242,669,154,29,0,291,26188,672,171,23,0,293,25979,686,155,20,0,347,1669,734,168,22,0,238,16,694,173,45,0,120
0882294f8a6100fe81b73a714357477c12172f87,24995,640,127,32,0,258,12791,665,148,28,0,210,905,576,25,2,0,93,962,646,174,33,0,189,9,669,164,33,0,95
