sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,incrementalJar instr,incrementalJar project,incrementalJar monitoring,incrementalJar lock,incrementalJar violation,incrementalJar other
4d782e211e9d9e112d34becec2c2987fd717f972,4028,1925,126,575,4,152,3789,1960,141,598,2,143,3536,1822,118,553,4,124,3502,1823,128,531,3,149,0,0,0,0,0,0
311bb3b24237bc26ac2b7b9e649474f6b5d11140,3771,1989,444,381,0,162,1854,1733,45,86,0,115,1321,1412,35,34,0,80,3793,1954,141,622,1,147,0,0,0,0,0,0
e45314ae1ee005fb453f7fa8fc75e1c39fcc8399,3713,2048,170,629,3,127,142,1674,19,1,0,69,98,1903,17,0,0,82,3549,1910,144,635,1,153,0,0,0,0,0,0
2d6644461ba55034a80b125e3570c42181cca149,3861,2115,152,648,2,139,0,0,0,0,0,0,0,0,0,0,0,0,3742,2156,150,663,2,159,0,0,0,0,0,0
ca346b8896f947592fa92501199587fd43752356,3872,2057,216,551,0,142,0,0,0,0,0,0,0,0,0,0,0,0,3694,1850,151,602,1,148,0,0,0,0,0,0
28c94188145cdebca845aa7569b3aa290de190f6,3601,1827,137,553,1,124,0,0,0,0,0,0,0,0,0,0,0,0,3567,1835,141,567,2,134,0,0,0,0,0,0
f835a880765bf61889ddb72d9c4c02dccae204b1,4052,2329,149,644,0,145,0,0,0,0,0,0,0,0,0,0,0,0,3731,1897,222,522,3,136,0,0,0,0,0,0
a735f920c141592b07bbf1778a961871f4ef4386,3985,2090,125,655,1,157,0,0,0,0,0,0,0,0,0,0,0,0,3313,2094,165,690,2,145,0,0,0,0,0,0
bba835d98ed438e17b970f650ad9256632e84a04,3866,1788,154,531,1,147,0,0,0,0,0,0,0,0,0,0,0,0,3708,1839,139,566,2,137,0,0,0,0,0,0
e2f354333a5b8462e8a4899ad27179d0f4f2b4ec,3995,1988,162,594,0,137,0,0,0,0,0,0,0,0,0,0,0,0,3689,2086,170,626,1,137,0,0,0,0,0,0
897b86b9ae9982dc2dc9df607bc18340ffbb3a0c,4060,2110,155,656,3,134,0,0,0,0,0,0,0,0,0,0,0,0,3622,2198,156,702,1,139,0,0,0,0,0,0
59cf72243782679af46aa29928879504ddb36f29,3796,1785,159,519,0,123,0,0,0,0,0,0,0,0,0,0,0,0,3553,1984,139,459,1,158,0,0,0,0,0,0
1941a7e90b70fb7e5149f8cb757cacb64ab182de,3747,2282,148,556,1,120,0,0,0,0,0,0,0,0,0,0,0,0,3448,1813,140,572,1,131,0,0,0,0,0,0
ca903ae97d605c1323d4092eb4a1a9a1516237e1,3947,2173,147,682,3,150,0,0,0,0,0,0,0,0,0,0,0,0,3579,2247,166,610,0,156,0,0,0,0,0,0
1fe7dabbbcde784094ceca47f5036e8b3f1ec722,3712,1724,193,502,2,150,0,0,0,0,0,0,0,0,0,0,0,0,3733,2028,223,587,2,154,0,0,0,0,0,0
d5e69ffd8987e61a72640fd7ff82c3c3de6af3cf,4048,1997,167,680,2,136,0,0,0,0,0,0,0,0,0,0,0,0,3849,2104,169,634,1,145,0,0,0,0,0,0
b34e8b9303acff77353ba86ee6ffb2f2ac88c635,3671,1843,123,555,1,130,0,0,0,0,0,0,0,0,0,0,0,0,3349,1751,165,545,1,141,0,0,0,0,0,0
43e04d682aed69638b0b779261725a51e62b016e,4009,2011,149,544,1,142,0,0,0,0,0,0,0,0,0,0,0,0,3664,2197,138,666,2,141,0,0,0,0,0,0
156d365aa3b5aa2a7df897532469bc99fd9f037d,3989,2074,149,675,2,155,0,0,0,0,0,0,0,0,0,0,0,0,3822,1846,142,525,0,147,0,0,0,0,0,0
599cd1d84d5bd2cc13940e1dfe75cf7c1fed6cd4,3516,2148,154,676,2,123,0,0,0,0,0,0,0,0,0,0,0,0,3522,2037,128,531,3,129,0,0,0,0,0,0
