sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
98a630c13f92205a33f680a65ebdbb082ce4db16,7559,246,65,92,0,128,6663,252,71,78,0,137,7253,251,69,96,1,154,7088,255,69,117,1,122,8,235,59,21,0,37
5709ce05ce73d027198328607541635b8d840a8e,5669,152,35,61,0,118,5304,147,31,69,0,125,5131,138,25,51,0,148,4400,134,28,74,0,124,4,116,22,7,0,31
76e782c2169e262ec589e84fdf65eb41c7cfc51b,5417,149,28,68,0,141,2928,138,24,55,0,98,255,139,16,3,0,46,383,150,39,5,0,65,4,131,23,9,0,40
b26e90463806200780702d37d4e4cc89f5b7387c,5101,145,25,51,0,138,0,0,0,0,0,0,0,0,0,0,0,0,376,170,34,4,0,70,2,155,30,48,1,35
afbca2c3a13d89ba6305c3a84d241615e91fab5d,5451,154,35,68,0,147,5260,150,28,64,1,131,5369,147,40,83,0,122,960,155,31,69,0,79,2,132,26,25,0,34
9245c99cbeffb442b4d26fa89b9d9b695f5c2d34,5380,128,29,71,0,122,0,0,0,0,0,0,0,0,0,0,0,0,236,160,30,40,0,77,3,145,22,25,0,35
88a0df67aff053b4cf2d076584e331695f0db928,5297,129,36,66,0,127,2872,136,29,47,0,107,254,119,15,29,0,50,296,179,33,37,0,65,0,160,33,31,0,34
cc7c44f3cfd852d5304120b09e721f073d25bce4,5482,130,50,50,0,114,5659,144,32,36,0,120,5693,148,47,47,0,119,1145,171,32,61,0,108,5,153,27,31,1,38
6fd98073b0cdbdde1fdb8d0b1a629eca418ae1e5,5382,144,26,35,0,127,0,0,0,0,0,0,0,0,0,0,0,0,150,168,33,37,0,49,0,0,0,0,0,0
24ff951dd143207ab1954de04d86cd952de323b3,5689,160,36,53,0,128,5527,157,33,46,0,131,5733,151,39,42,0,132,427,149,35,37,1,71,1,149,33,31,0,31
cfb9b8934f52ef6ea5155b54d9ca56e2cab5ab88,5255,149,40,48,0,119,5432,140,34,50,1,116,5486,131,45,45,0,131,705,171,32,72,0,69,3,134,27,35,0,44
580435633284e30f5d3ab0395762f5775ae9ad9d,5661,162,39,47,0,120,5768,146,30,52,0,159,5440,147,27,51,0,143,4256,158,34,67,0,138,3,177,34,33,0,49
6752dc0f49f2c552e8aa5906b722f5c40e26ea0e,5517,167,39,62,0,165,0,0,0,0,0,0,0,0,0,0,0,0,4987,164,28,82,1,125,4,133,25,3,0,35
a1346250fa41bcdb214b828ad108c6687f9339c3,5425,191,30,83,1,123,5338,135,31,81,0,142,5772,157,32,87,0,116,979,192,40,6,0,109,1,133,24,4,1,35
ed0e73b898717fdc1e2de7bb88c7e80d1bcc704e,5932,187,42,79,0,130,2942,161,26,94,0,110,281,143,18,5,0,59,400,195,34,5,1,69,2,165,23,7,0,35
1f31390318a84fe3f717a6f6e0c841fa6cd9eb7e,5113,173,34,63,0,131,0,0,0,0,0,0,0,0,0,0,0,0,150,166,34,5,1,59,0,0,0,0,0,0
1031dc668b45081f1de6a4c5ae216fce2f0f1b75,5241,162,50,67,0,115,0,0,0,0,0,0,0,0,0,0,0,0,145,213,38,6,0,67,0,0,0,0,0,0
